Entry ID;Experimental Method;Number of Water Molecules per Deposited Model;Resolution (Å);
3BTY;X-RAY DIFFRACTION;124;2,35;
3BTZ;X-RAY DIFFRACTION;4;3;
3BU0;X-RAY DIFFRACTION;91;2,5;
3BUC;X-RAY DIFFRACTION;37;2,59;
3C0W;X-RAY DIFFRACTION;98;2,2;
3C0X;X-RAY DIFFRACTION;58;2,3;
3C1B;X-RAY DIFFRACTION;787;2,2;
3C1C;X-RAY DIFFRACTION;284;3,15;
3C25;X-RAY DIFFRACTION;168;2,5;
3C28;X-RAY DIFFRACTION;324;2,6;
3C29;X-RAY DIFFRACTION;466;2,2;
3C2I;X-RAY DIFFRACTION;47;2,5;
3C2K;X-RAY DIFFRACTION;232;2,4;
3C2L;X-RAY DIFFRACTION;129;2,6;
3C2M;X-RAY DIFFRACTION;307;2,15;
3C2P;X-RAY DIFFRACTION;650;2;
3C3L;X-RAY DIFFRACTION;291;2,4;
3C46;X-RAY DIFFRACTION;967;2;
3C58;X-RAY DIFFRACTION;335;1,9;
3C5F;X-RAY DIFFRACTION;639;2,25;
3C5G;X-RAY DIFFRACTION;838;2,2;
3CBB;X-RAY DIFFRACTION;157;2;
3CFP;X-RAY DIFFRACTION;299;2,5;
3CFR;X-RAY DIFFRACTION;629;2,4;
3CLC;X-RAY DIFFRACTION;4;2,8;
3CLZ;X-RAY DIFFRACTION;652;2,2;
3CMT;X-RAY DIFFRACTION;;3,15;
3CMU;X-RAY DIFFRACTION;;4,2;
3CMW;X-RAY DIFFRACTION;;2,8;
3CMX;X-RAY DIFFRACTION;;3,4;
3CMY;X-RAY DIFFRACTION;84;1,95;
3CO6;X-RAY DIFFRACTION;165;2,1;
3CO7;X-RAY DIFFRACTION;4;2,91;
3COA;X-RAY DIFFRACTION;207;2,2;
3COQ;X-RAY DIFFRACTION;33;2,4;
3CQ8;X-RAY DIFFRACTION;433;2,5;
3CRO;X-RAY DIFFRACTION;25;2,5;
3CRX;X-RAY DIFFRACTION;236;2,5;
3CVS;X-RAY DIFFRACTION;167;2,4;
3CVT;X-RAY DIFFRACTION;29;2,5;
3CVU;X-RAY DIFFRACTION;321;2;
3CVV;X-RAY DIFFRACTION;468;2,1;
3CVW;X-RAY DIFFRACTION;12;3,2;
3CVX;X-RAY DIFFRACTION;13;3,2;
3CVY;X-RAY DIFFRACTION;9;2,7;
3CW7;X-RAY DIFFRACTION;27;2,3;
3CWA;X-RAY DIFFRACTION;66;2,4;
3CWS;X-RAY DIFFRACTION;152;2,3;
3CWT;X-RAY DIFFRACTION;124;2,3;
3CWU;X-RAY DIFFRACTION;37;2,8;
3D0A;X-RAY DIFFRACTION;751;1,8;
3D0P;X-RAY DIFFRACTION;166;1,8;
3D1N;X-RAY DIFFRACTION;97;2,51;
3D2W;X-RAY DIFFRACTION;116;1,65;
3D4V;X-RAY DIFFRACTION;21;2,9;
3D6Y;X-RAY DIFFRACTION;34;2,7;
3D6Z;X-RAY DIFFRACTION;86;2,6;
3D70;X-RAY DIFFRACTION;49;2,8;
3D71;X-RAY DIFFRACTION;55;2,8;
3DFV;X-RAY DIFFRACTION;;3,1;
3DFX;X-RAY DIFFRACTION;;2,7;
3DLB;X-RAY DIFFRACTION;48;2,7;
3DLH;X-RAY DIFFRACTION;75;3;
3DNV;X-RAY DIFFRACTION;34;2,68;
3DO7;X-RAY DIFFRACTION;49;3,05;
3DPG;X-RAY DIFFRACTION;471;1,91;
3DSC;X-RAY DIFFRACTION;63;2,7;
3DSD;X-RAY DIFFRACTION;300;2,2;
3DVO;X-RAY DIFFRACTION;776;1,892;
3DW9;X-RAY DIFFRACTION;319;2,2;
3DZU;X-RAY DIFFRACTION;;3,2;
3DZY;X-RAY DIFFRACTION;;3,1;
3,00E+00;X-RAY DIFFRACTION;;3,1;
3E0D;X-RAY DIFFRACTION;;4,6;
3E2E;X-RAY DIFFRACTION;73;3;
3E3J;X-RAY DIFFRACTION;;6,7;
3E3Y;X-RAY DIFFRACTION;448;2,13;
3,00E+40;X-RAY DIFFRACTION;501;2,1;
3,00E+41;X-RAY DIFFRACTION;128;2,73;
3,00E+42;X-RAY DIFFRACTION;134;2,68;
3,00E+43;X-RAY DIFFRACTION;106;2,73;
3,00E+44;X-RAY DIFFRACTION;292;2,52;
3,00E+45;X-RAY DIFFRACTION;363;2,78;
3,00E+54;X-RAY DIFFRACTION;113;2,5;
3E6C;X-RAY DIFFRACTION;152;1,8;
3EBC;X-RAY DIFFRACTION;301;2,55;
3ECP;X-RAY DIFFRACTION;120;2,5;
3EEO;X-RAY DIFFRACTION;112;1,94;
3EH8;X-RAY DIFFRACTION;67;2,7;
3EI1;X-RAY DIFFRACTION;193;2,8;
3EI2;X-RAY DIFFRACTION;282;2,6;
3EPG;X-RAY DIFFRACTION;69;2,5;
3EPI;X-RAY DIFFRACTION;69;2,9;
3ERE;X-RAY DIFFRACTION;93;2,5;
3EXJ;X-RAY DIFFRACTION;578;2;
3EXL;X-RAY DIFFRACTION;161;2,2;
3EY1;X-RAY DIFFRACTION;103;1,6;
3EYI;X-RAY DIFFRACTION;351;1,45;
3EYZ;X-RAY DIFFRACTION;298;2,1;
3EZ5;X-RAY DIFFRACTION;540;1,9;
3F21;X-RAY DIFFRACTION;203;2,2;
3F22;X-RAY DIFFRACTION;79;2,5;
3F23;X-RAY DIFFRACTION;60;2,7;
3F27;X-RAY DIFFRACTION;;2,75;
3F2B;X-RAY DIFFRACTION;95;2,39;
3F2C;X-RAY DIFFRACTION;155;2,5;
3F2D;X-RAY DIFFRACTION;101;2,51;
3F73;X-RAY DIFFRACTION;16;3;
3F8I;X-RAY DIFFRACTION;135;2,29;
3F8J;X-RAY DIFFRACTION;161;1,99;
3FBD;X-RAY DIFFRACTION;71;2,9;
3FC3;X-RAY DIFFRACTION;397;1,75;
3FD2;X-RAY DIFFRACTION;35;2,69;
3FDE;X-RAY DIFFRACTION;680;1,41;
3FDQ;X-RAY DIFFRACTION;220;1,75;
3FHZ;X-RAY DIFFRACTION;73;3,27;
3FMT;X-RAY DIFFRACTION;31;2,983;
3FOE;X-RAY DIFFRACTION;;4,001;
3FOF;X-RAY DIFFRACTION;;4;
3FSI;X-RAY DIFFRACTION;228;1,75;
3FYL;X-RAY DIFFRACTION;160;1,63;
3G00;X-RAY DIFFRACTION;659;1,74;
3G0Q;X-RAY DIFFRACTION;42;2,2;
3G0R;X-RAY DIFFRACTION;305;2,4;
3G2C;X-RAY DIFFRACTION;168;2,3;
3G2D;X-RAY DIFFRACTION;313;2,3;
3G38;X-RAY DIFFRACTION;48;3,04;
3G3C;X-RAY DIFFRACTION;3;3,04;
3G3Y;X-RAY DIFFRACTION;55;2,5;
3G4T;X-RAY DIFFRACTION;16;2,64;
3G6P;X-RAY DIFFRACTION;115;1,985;
3G6Q;X-RAY DIFFRACTION;36;2,26;
3G6R;X-RAY DIFFRACTION;143;2,3;
3G6T;X-RAY DIFFRACTION;103;1,9;
3G6U;X-RAY DIFFRACTION;83;1,9;
3G6V;X-RAY DIFFRACTION;171;2,2;
3G6X;X-RAY DIFFRACTION;219;2,08;
3G6Y;X-RAY DIFFRACTION;213;2,1;
3G73;X-RAY DIFFRACTION;163;2,21;
3G8U;X-RAY DIFFRACTION;84;1,9;
3G8X;X-RAY DIFFRACTION;67;2,05;
3G97;X-RAY DIFFRACTION;46;2,08;
3G99;X-RAY DIFFRACTION;94;1,81;
3G9I;X-RAY DIFFRACTION;164;1,85;
3G9J;X-RAY DIFFRACTION;128;2,32;
3G9M;X-RAY DIFFRACTION;254;1,61;
3G9O;X-RAY DIFFRACTION;177;1,65;
3G9P;X-RAY DIFFRACTION;177;1,652;
3GA6;X-RAY DIFFRACTION;354;1,898;
3GAT;SOLUTION NMR;;;
3GDX;X-RAY DIFFRACTION;277;2,2;
3GFI;X-RAY DIFFRACTION;154;2,1;
3GII;X-RAY DIFFRACTION;66;2,6;
3GIJ;X-RAY DIFFRACTION;244;2,4;
3GIK;X-RAY DIFFRACTION;17;2,9;
3GIL;X-RAY DIFFRACTION;119;2,71;
3GIM;X-RAY DIFFRACTION;41;2,7;
3GLF;X-RAY DIFFRACTION;;3,388;
3GLG;X-RAY DIFFRACTION;;3,25;
3GLI;X-RAY DIFFRACTION;;3,5;
3GNA;X-RAY DIFFRACTION;8;2,4;
3GNB;X-RAY DIFFRACTION;8;3;
3GO3;X-RAY DIFFRACTION;45;1,1;
3GO8;X-RAY DIFFRACTION;244;1,89;
3GOX;X-RAY DIFFRACTION;476;1,5;
3GP1;X-RAY DIFFRACTION;180;2,05;
3GP8;X-RAY DIFFRACTION;190;2,5;
3GPL;X-RAY DIFFRACTION;186;2,5;
3GPP;X-RAY DIFFRACTION;73;2,15;
3GPU;X-RAY DIFFRACTION;287;1,62;
3GPX;X-RAY DIFFRACTION;256;1,78;
3GPY;X-RAY DIFFRACTION;297;1,85;
3GQ3;X-RAY DIFFRACTION;266;1,83;
3GQ4;X-RAY DIFFRACTION;357;1,7;
3GQ5;X-RAY DIFFRACTION;168;1,9;
3GQC;X-RAY DIFFRACTION;96;2,5;
3GTG;X-RAY DIFFRACTION;1;3,78;
3GTJ;X-RAY DIFFRACTION;;3,42;
3GTK;X-RAY DIFFRACTION;;3,8;
3GTL;X-RAY DIFFRACTION;;3,38;
3GTM;X-RAY DIFFRACTION;;3,8;
3GTO;X-RAY DIFFRACTION;;4;
3GTP;X-RAY DIFFRACTION;;3,9;
3GTQ;X-RAY DIFFRACTION;;3,8;
3GUT;X-RAY DIFFRACTION;;3,59;
3GV5;X-RAY DIFFRACTION;737;2;
3GV7;X-RAY DIFFRACTION;265;2,2;
3GV8;X-RAY DIFFRACTION;240;2;
3GX4;X-RAY DIFFRACTION;23;2,7;
3GXQ;X-RAY DIFFRACTION;36;2,35;
3GYH;X-RAY DIFFRACTION;2;2,8;
3GZ6;X-RAY DIFFRACTION;73;2,901;
3H0D;X-RAY DIFFRACTION;176;2,4;
3H15;X-RAY DIFFRACTION;15;2,72;
3H25;X-RAY DIFFRACTION;24;2,7;
3H3V;X-RAY DIFFRACTION;;4;
3H40;X-RAY DIFFRACTION;238;2,3;
3H4B;X-RAY DIFFRACTION;156;2,85;
3H4D;X-RAY DIFFRACTION;272;2,2;
3H8O;X-RAY DIFFRACTION;195;2;
3H8R;X-RAY DIFFRACTION;218;1,77;
3H8X;X-RAY DIFFRACTION;177;1,95;
3HDD;X-RAY DIFFRACTION;53;2,2;
3HJF;X-RAY DIFFRACTION;9;3,056;
3HK2;X-RAY DIFFRACTION;14;2,8;
3HM9;X-RAY DIFFRACTION;;3,3;
3HO1;X-RAY DIFFRACTION;93;2,6;
3HOS;X-RAY DIFFRACTION;2;3,5;
3HOT;X-RAY DIFFRACTION;3;3,25;
3HOU;X-RAY DIFFRACTION;;3,2;
3HOV;X-RAY DIFFRACTION;;3,5;
3HOW;X-RAY DIFFRACTION;;3,6;
3HOX;X-RAY DIFFRACTION;;3,65;
3HOY;X-RAY DIFFRACTION;;3,4;
3HOZ;X-RAY DIFFRACTION;;3,65;
3HP6;X-RAY DIFFRACTION;869;1,81;
3HPO;X-RAY DIFFRACTION;724;1,75;
3HQF;X-RAY DIFFRACTION;153;2,51;
3HQG;X-RAY DIFFRACTION;67;2,6;
3HT3;X-RAY DIFFRACTION;996;1,7;
3HTS;X-RAY DIFFRACTION;70;1,75;
3HVR;X-RAY DIFFRACTION;;3,211;
3HW8;X-RAY DIFFRACTION;331;1,95;
3HWT;X-RAY DIFFRACTION;351;1,95;
3HX0;X-RAY DIFFRACTION;35;3;
3HXM;X-RAY DIFFRACTION;;3,1;
3HXO;X-RAY DIFFRACTION;177;2,4;
3HXQ;X-RAY DIFFRACTION;102;2,694;
3HZI;X-RAY DIFFRACTION;5;2,98;
3I0W;X-RAY DIFFRACTION;319;1,73;
3I0X;X-RAY DIFFRACTION;242;1,8;
3I2O;X-RAY DIFFRACTION;156;1,7;
3I3M;X-RAY DIFFRACTION;148;1,5;
3I49;X-RAY DIFFRACTION;281;1,6;
3I4M;X-RAY DIFFRACTION;;3,7;
3I4N;X-RAY DIFFRACTION;;3,9;
3I8D;X-RAY DIFFRACTION;231;1,61;
3IAG;X-RAY DIFFRACTION;158;2;
3IAY;X-RAY DIFFRACTION;558;2;
3IGC;X-RAY DIFFRACTION;426;2,1;
3IGK;X-RAY DIFFRACTION;344;1,7;
3IGL;X-RAY DIFFRACTION;343;1,8;
3IGM;X-RAY DIFFRACTION;97;2,2;
3IH7;X-RAY DIFFRACTION;;3,1;
3IKT;X-RAY DIFFRACTION;378;2,26;
3IL2;X-RAY DIFFRACTION;122;2,49;
3IMB;X-RAY DIFFRACTION;729;1,89;
3IN5;X-RAY DIFFRACTION;18;3,2;
3IRQ;X-RAY DIFFRACTION;18;2,8;
3IRR;X-RAY DIFFRACTION;32;2,65;
3ISB;X-RAY DIFFRACTION;554;2;
3ISC;X-RAY DIFFRACTION;511;2;
3ISD;X-RAY DIFFRACTION;268;2,6;
3IV5;X-RAY DIFFRACTION;12;2,9;
3IYD;ELECTRON MICROSCOPY;;19,8;
3J9X;ELECTRON MICROSCOPY;;3,8;
3JAA;ELECTRON MICROSCOPY;402;22;
3JBW;ELECTRON MICROSCOPY;;4.631, 4.6;
3JBX;ELECTRON MICROSCOPY;;3.4, 3.4;
3JBY;ELECTRON MICROSCOPY;;3.7, 3.7;
3JCA;ELECTRON MICROSCOPY;;4,8;
3JPN;X-RAY DIFFRACTION;398;2,15;
3JPO;X-RAY DIFFRACTION;413;2;
3JPP;X-RAY DIFFRACTION;334;2,1;
3JPQ;X-RAY DIFFRACTION;470;1,9;
3JPR;X-RAY DIFFRACTION;289;2,1;
3JPS;X-RAY DIFFRACTION;400;2;
3JPT;X-RAY DIFFRACTION;384;2,15;
3JR4;X-RAY DIFFRACTION;64;2,601;
3JR5;X-RAY DIFFRACTION;295;1,704;
3JR9;X-RAY DIFFRACTION;22;2,9;
3JRA;X-RAY DIFFRACTION;8;3,11;
3JRB;X-RAY DIFFRACTION;15;3,1;
3JRC;X-RAY DIFFRACTION;2;3,08;
3JRD;X-RAY DIFFRACTION;;3,1;
3JRE;X-RAY DIFFRACTION;;3,17;
3JRF;X-RAY DIFFRACTION;6;3,05;
3JRG;X-RAY DIFFRACTION;;3,11;
3JRH;X-RAY DIFFRACTION;14;2,88;
3JRI;X-RAY DIFFRACTION;;3,11;
3JSM;X-RAY DIFFRACTION;1;3;
3JSO;X-RAY DIFFRACTION;81;2,29;
3JSP;X-RAY DIFFRACTION;11;2,9;
3JTG;X-RAY DIFFRACTION;54;2,2;
3JX7;X-RAY DIFFRACTION;446;1,6;
3JXB;X-RAY DIFFRACTION;300;1,67;
3JXC;X-RAY DIFFRACTION;279;1,9;
3JXD;X-RAY DIFFRACTION;288;2,1;
3JXY;X-RAY DIFFRACTION;525;1,5;
3JXZ;X-RAY DIFFRACTION;275;1,75;
3JY1;X-RAY DIFFRACTION;221;1,754;
3JYT;X-RAY DIFFRACTION;;3,3;
3K0S;X-RAY DIFFRACTION;769;2,2;
3K3R;X-RAY DIFFRACTION;;3,2;
3K4X;X-RAY DIFFRACTION;;2,98;
3K57;X-RAY DIFFRACTION;525;2,08;
3K58;X-RAY DIFFRACTION;761;2,05;
3K59;X-RAY DIFFRACTION;525;1,92;
3K5L;X-RAY DIFFRACTION;75;2,7;
3K5M;X-RAY DIFFRACTION;491;2,04;
3K5N;X-RAY DIFFRACTION;28;3,15;
3K70;X-RAY DIFFRACTION;;3,59;
3K9F;X-RAY DIFFRACTION;14;2,9;
3KD1;X-RAY DIFFRACTION;321;2,66;
3KD5;X-RAY DIFFRACTION;246;2,69;
3KDE;X-RAY DIFFRACTION;107;1,74;
3KET;X-RAY DIFFRACTION;119;2,4;
3KHC;X-RAY DIFFRACTION;269;2,2;
3KHG;X-RAY DIFFRACTION;50;2,96;
3KHH;X-RAY DIFFRACTION;92;2,7;
3KHL;X-RAY DIFFRACTION;316;2,1;
3KHR;X-RAY DIFFRACTION;402;2,01;
3KJP;X-RAY DIFFRACTION;223;1,8;
3KJV;X-RAY DIFFRACTION;47;3,1;
3KK1;X-RAY DIFFRACTION;154;2,7;
3KK2;X-RAY DIFFRACTION;86;2,9;
3KK3;X-RAY DIFFRACTION;22;2,9;
3KLE;X-RAY DIFFRACTION;93;3,2;
3KLF;X-RAY DIFFRACTION;76;3,15;
3KLG;X-RAY DIFFRACTION;;3,65;
3KLH;X-RAY DIFFRACTION;138;2,9;
3KMD;X-RAY DIFFRACTION;523;2,15;
3KMP;X-RAY DIFFRACTION;9;2,7;
3KNT;X-RAY DIFFRACTION;35;2,7;
3KO2;X-RAY DIFFRACTION;6;2,9;
3KOV;X-RAY DIFFRACTION;;2,9;
3KQH;X-RAY DIFFRACTION;138;2,4;
3KQK;X-RAY DIFFRACTION;138;2,8;
3KQL;X-RAY DIFFRACTION;211;2,5;
3KQN;X-RAY DIFFRACTION;223;2,05;
3KQU;X-RAY DIFFRACTION;427;2,4;
3KSA;X-RAY DIFFRACTION;7;3,3;
3KSB;X-RAY DIFFRACTION;4;3,5;
3KTQ;X-RAY DIFFRACTION;149;2,3;
3KTU;X-RAY DIFFRACTION;72;2,3;
3KUY;X-RAY DIFFRACTION;;2,9;
3KWQ;X-RAY DIFFRACTION;23;3,5;
3KXB;X-RAY DIFFRACTION;115;3,2;
3KXT;X-RAY DIFFRACTION;135;1,602;
3KZ8;X-RAY DIFFRACTION;312;1,91;
3L1P;X-RAY DIFFRACTION;;2,8;
3L2C;X-RAY DIFFRACTION;163;1,868;
3L2P;X-RAY DIFFRACTION;;3;
3L2Q;X-RAY DIFFRACTION;;3,25;
3L2R;X-RAY DIFFRACTION;12;2,88;
3L2U;X-RAY DIFFRACTION;;3,15;
3L2V;X-RAY DIFFRACTION;;3,2;
3L2W;X-RAY DIFFRACTION;;3,2;
3L4J;X-RAY DIFFRACTION;113;2,48;
3L4K;X-RAY DIFFRACTION;20;2,98;
3L8B;X-RAY DIFFRACTION;998;2,15;
3LAJ;X-RAY DIFFRACTION;435;2,306;
3LAP;X-RAY DIFFRACTION;672;2,15;
3LDS;X-RAY DIFFRACTION;11;3;
3LDY;X-RAY DIFFRACTION;89;1,97;
3LEL;X-RAY DIFFRACTION;;2,95;
3LJA;X-RAY DIFFRACTION;;2,75;
3LK9;X-RAY DIFFRACTION;158;2,5;
3LNQ;X-RAY DIFFRACTION;30;2,25;
3LSP;X-RAY DIFFRACTION;20;2,66;
3LSR;X-RAY DIFFRACTION;15;2,55;
3LTN;X-RAY DIFFRACTION;5;3,1;
3LWH;X-RAY DIFFRACTION;78;1,9;
3LWI;X-RAY DIFFRACTION;115;2,3;
3LWL;X-RAY DIFFRACTION;161;2,25;
3LWM;X-RAY DIFFRACTION;154;2,186;
3LZ0;X-RAY DIFFRACTION;;2,5;
3LZ1;X-RAY DIFFRACTION;;2,5;
3LZI;X-RAY DIFFRACTION;176;2,3;
3LZJ;X-RAY DIFFRACTION;568;2,05;
3M3Y;X-RAY DIFFRACTION;;3,18;
3M4A;X-RAY DIFFRACTION;281;1,65;
3M4O;X-RAY DIFFRACTION;;3,57;
3M7K;X-RAY DIFFRACTION;114;1,92;
3M8R;X-RAY DIFFRACTION;291;2;
3M8S;X-RAY DIFFRACTION;122;2,2;
3M9E;X-RAY DIFFRACTION;232;2,406;
3M9M;X-RAY DIFFRACTION;51;2,9;
3M9N;X-RAY DIFFRACTION;292;1,93;
3M9O;X-RAY DIFFRACTION;258;2;
3MAQ;X-RAY DIFFRACTION;391;2,4;
3MBY;X-RAY DIFFRACTION;428;2;
3MDA;X-RAY DIFFRACTION;290;2,031;
3MDC;X-RAY DIFFRACTION;369;1,999;
3MFH;X-RAY DIFFRACTION;627;2;
3MFI;X-RAY DIFFRACTION;709;1,76;
3MFK;X-RAY DIFFRACTION;27;3;
3MGH;X-RAY DIFFRACTION;361;2,4;
3MGI;X-RAY DIFFRACTION;156;2,603;
3MGP;X-RAY DIFFRACTION;;2,44;
3MGQ;X-RAY DIFFRACTION;;2,65;
3MGR;X-RAY DIFFRACTION;;2,3;
3MGS;X-RAY DIFFRACTION;;3,15;
3MGV;X-RAY DIFFRACTION;343;2,29;
3MHT;X-RAY DIFFRACTION;70;2,7;
3MIP;X-RAY DIFFRACTION;87;2,4;
3MIS;X-RAY DIFFRACTION;93;2,3;
3MKW;X-RAY DIFFRACTION;;2,99;
3MKY;X-RAY DIFFRACTION;;2,86;
3MKZ;X-RAY DIFFRACTION;12;2,98;
3MLN;X-RAY DIFFRACTION;445;2,4;
3MLO;X-RAY DIFFRACTION;33;3,01;
3MLP;X-RAY DIFFRACTION;150;2,8;
3MNN;X-RAY DIFFRACTION;22;2,5;
3MQ6;X-RAY DIFFRACTION;1335;2;
3MQY;X-RAY DIFFRACTION;318;2;
3MR2;X-RAY DIFFRACTION;402;1,83;
3MR3;X-RAY DIFFRACTION;431;1,75;
3MR5;X-RAY DIFFRACTION;367;1,8;
3MR6;X-RAY DIFFRACTION;357;1,9;
3MU6;X-RAY DIFFRACTION;;2,434;
3MVA;X-RAY DIFFRACTION;118;2,2;
3MVB;X-RAY DIFFRACTION;38;2,786;
3MVD;X-RAY DIFFRACTION;;2,9;
3MX4;X-RAY DIFFRACTION;493;2,5;
3MX9;X-RAY DIFFRACTION;58;2,6;
3MXA;X-RAY DIFFRACTION;120;2,3;
3MXB;X-RAY DIFFRACTION;179;2,3;
3MXI;X-RAY DIFFRACTION;93;2,55;
3MXM;X-RAY DIFFRACTION;539;1,75;
3MZH;X-RAY DIFFRACTION;;2,9;
3N1I;X-RAY DIFFRACTION;36;2,2;
3N1J;X-RAY DIFFRACTION;60;2,65;
3N1K;X-RAY DIFFRACTION;56;2,702;
3N1L;X-RAY DIFFRACTION;60;2,35;
3N4M;X-RAY DIFFRACTION;35;2,987;
3N6S;X-RAY DIFFRACTION;;3,1;
3N78;X-RAY DIFFRACTION;79;2,95;
3N7B;X-RAY DIFFRACTION;395;2,65;
3N7Q;X-RAY DIFFRACTION;32;2,4;
3N97;X-RAY DIFFRACTION;1;3,252;
3NAE;X-RAY DIFFRACTION;704;2,003;
3NBN;X-RAY DIFFRACTION;;3,45;
3NCI;X-RAY DIFFRACTION;1373;1,79;
3NDH;X-RAY DIFFRACTION;471;1,3;
3NDK;X-RAY DIFFRACTION;875;2;
3NE6;X-RAY DIFFRACTION;757;2,001;
3NGD;X-RAY DIFFRACTION;64;2,8;
3NGI;X-RAY DIFFRACTION;956;1,886;
3NGO;X-RAY DIFFRACTION;112;2,2;
3NGZ;X-RAY DIFFRACTION;584;2,1;
3NH0;X-RAY DIFFRACTION;270;2,3;
3NH1;X-RAY DIFFRACTION;343;2,107;
3NH2;X-RAY DIFFRACTION;345;2,3;
3NHG;X-RAY DIFFRACTION;313;2,5;
3NIC;X-RAY DIFFRACTION;466;2,8;
3NM9;X-RAY DIFFRACTION;4;2,85;
3O1M;X-RAY DIFFRACTION;329;1,75;
3O1O;X-RAY DIFFRACTION;248;1,92;
3O1P;X-RAY DIFFRACTION;347;1,51;
3O1R;X-RAY DIFFRACTION;359;1,77;
3O1S;X-RAY DIFFRACTION;288;1,58;
3O1T;X-RAY DIFFRACTION;339;1,48;
3O1U;X-RAY DIFFRACTION;319;1,54;
3O1V;X-RAY DIFFRACTION;197;1,9;
3O3F;X-RAY DIFFRACTION;146;2;
3O3G;X-RAY DIFFRACTION;244;2,1;
3O3H;X-RAY DIFFRACTION;49;2,8;
3O62;X-RAY DIFFRACTION;;3,216;
3O9X;X-RAY DIFFRACTION;285;2,0999;
3OA6;X-RAY DIFFRACTION;108;2,35;
3OD8;X-RAY DIFFRACTION;342;2,4;
3ODA;X-RAY DIFFRACTION;233;2,64;
3ODC;X-RAY DIFFRACTION;39;2,8;
3ODE;X-RAY DIFFRACTION;19;2,95;
3ODH;X-RAY DIFFRACTION;710;2,3;
3OGD;X-RAY DIFFRACTION;;2,8;
3OGU;X-RAY DIFFRACTION;335;1,845;
3OH6;X-RAY DIFFRACTION;;2,894;
3OH9;X-RAY DIFFRACTION;1;2,802;
3OHA;X-RAY DIFFRACTION;705;2;
3OHB;X-RAY DIFFRACTION;601;2;
3OJS;X-RAY DIFFRACTION;331;1,9;
3OJU;X-RAY DIFFRACTION;195;2;
3ON0;X-RAY DIFFRACTION;;2,874;
3OOL;X-RAY DIFFRACTION;36;2,3;
3OOR;X-RAY DIFFRACTION;11;2,5;
3OQG;X-RAY DIFFRACTION;362;1,75;
3OQM;X-RAY DIFFRACTION;50;2,96;
3OQN;X-RAY DIFFRACTION;;3,3;
3OQO;X-RAY DIFFRACTION;48;2,97;
3OR3;X-RAY DIFFRACTION;313;1,95;
3ORC;X-RAY DIFFRACTION;3;3;
3OS0;X-RAY DIFFRACTION;4;2,81;
3OS1;X-RAY DIFFRACTION;;2,97;
3OS2;X-RAY DIFFRACTION;;3,32;
3OSF;X-RAY DIFFRACTION;360;2,032;
3OSG;X-RAY DIFFRACTION;300;1,997;
3OSN;X-RAY DIFFRACTION;271;1,9;
3OSP;X-RAY DIFFRACTION;151;2,5;
3OY9;X-RAY DIFFRACTION;274;2,55;
3OYA;X-RAY DIFFRACTION;234;2,65;
3OYB;X-RAY DIFFRACTION;252;2,54;
3OYC;X-RAY DIFFRACTION;245;2,66;
3OYD;X-RAY DIFFRACTION;236;2,54;
3OYE;X-RAY DIFFRACTION;217;2,74;
3OYF;X-RAY DIFFRACTION;272;2,51;
3OYG;X-RAY DIFFRACTION;240;2,56;
3OYH;X-RAY DIFFRACTION;162;2,74;
3OYI;X-RAY DIFFRACTION;205;2,72;
3OYJ;X-RAY DIFFRACTION;198;2,68;
3OYK;X-RAY DIFFRACTION;238;2,72;
3OYL;X-RAY DIFFRACTION;229;2,54;
3OYM;X-RAY DIFFRACTION;596;2,02;
3OYN;X-RAY DIFFRACTION;189;2,68;
3P57;X-RAY DIFFRACTION;262;2,1921;
3PGW;X-RAY DIFFRACTION;;4,4;
3PIH;X-RAY DIFFRACTION;24;2,9;
3PJR;X-RAY DIFFRACTION;;3,3;
3PKY;X-RAY DIFFRACTION;47;3,1;
3PML;X-RAY DIFFRACTION;168;2,6;
3PMN;X-RAY DIFFRACTION;202;2,2;
3PNC;X-RAY DIFFRACTION;310;2;
3PO2;X-RAY DIFFRACTION;;3,3;
3PO3;X-RAY DIFFRACTION;;3,3;
3PO4;X-RAY DIFFRACTION;548;1,8;
3PO5;X-RAY DIFFRACTION;131;2,39;
3POV;X-RAY DIFFRACTION;125;2,5;
3PR4;X-RAY DIFFRACTION;84;2,65;
3PR5;X-RAY DIFFRACTION;77;2,4;
3PT6;X-RAY DIFFRACTION;24;3;
3PTA;X-RAY DIFFRACTION;;3,6;
3PV8;X-RAY DIFFRACTION;1823;1,52;
3PVI;X-RAY DIFFRACTION;269;1,59;
3PVP;X-RAY DIFFRACTION;84;2,3;
3PVV;X-RAY DIFFRACTION;179;2;
3PVX;X-RAY DIFFRACTION;83;3,03;
3PW0;X-RAY DIFFRACTION;77;2,91;
3PW2;X-RAY DIFFRACTION;108;2,74;
3PW4;X-RAY DIFFRACTION;71;2,9;
3PW5;X-RAY DIFFRACTION;57;3;
3PW7;X-RAY DIFFRACTION;85;2,9;
3PX0;X-RAY DIFFRACTION;1368;1,73;
3PX4;X-RAY DIFFRACTION;1468;1,582;
3PX6;X-RAY DIFFRACTION;1202;1,59;
3PX7;X-RAY DIFFRACTION;140;2,3;
3PY8;X-RAY DIFFRACTION;523;1,74;
3PZP;X-RAY DIFFRACTION;8;3,336;
3Q05;X-RAY DIFFRACTION;161;2,4;
3Q06;X-RAY DIFFRACTION;;3,2;
3Q0A;X-RAY DIFFRACTION;234;2,69;
